Industry,City,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Construction,Vancouver,3833.587318,4002.338908,4660.317725,4783.733898,4732.08055,4752.224858,4809.443173,5144.045165,5022.510658,4943.20211,5317.733628,4866.131513,4680.317255,4616.017555,4756.556823,4999.303083,5469.66599,6042.486438,6349.622798,6954.376668,7070.054685,7541.508173,7286.709188,7563.09861,7782.931943,8390.381883,8677.332848,8572.242
Education and Healthcare,Vancouver,6490.621505,6874.990605,7173.181868,7505.42724,7787.869903,8003.727185,8101.973405,8409.71125,8755.263963,9140.613965,9097.00011,9308.70549,9594.02082,10134.94618,10378.6318,10586.8368,10907.7661,10847.78455,10996.5843,11278.9621,11516.21343,11992.09865,12205.61708,12412.52375,12692.687,12939.25178,13128.08075,13007.8275
"Finance, Insurance and Real Estate",Vancouver,11147.90318,11303.34513,11955.13123,12724.45558,13771.0804,14664.74165,15439.81468,16543.75205,16888.819,17208.83115,17888.97018,18151.98653,18933.32513,19431.69383,19870.53413,20650.60343,21233.32633,22386.78835,23239.72243,24272.81593,25304.27628,25693.32178,26278.53343,27203.76155,28322.4204,29102.59468,30381.9677,31483.9275
Information and Cultural Industries,Vancouver,1727.460073,1869.38397,1956.064218,1998.18379,2056.51157,2093.038033,2220.663205,2333.074348,2401.832698,2441.175593,2815.52342,3022.7726,3249.457645,3519.32714,3596.388518,4071.767868,4383.974003,4523.227035,4815.053265,4942.282668,5045.134003,5099.512278,4892.90445,4930.069895,5010.828225,5132.025678,5186.493258,5212.78525
Manufacturing,Vancouver,5798.255283,6088.50908,6209.44981,5788.216598,5516.26479,5653.014988,5740.283983,5759.37139,5839.500295,5877.040743,6017.321473,5919.332555,6852.643783,8136.318958,7460.474278,7428.004638,7547.956503,8053.595998,8430.74737,8721.921228,8747.169985,8162.188875,7160.791683,7605.57848,7815.59442,8015.60424,8040.238083,8318.6875
Personal Services,Vancouver,3227.669728,3396.0812,3500.136063,3641.065478,3389.07939,3545.640568,3792.931268,3999.236393,4166.879625,4205.36039,4663.065118,4619.246243,4733.708268,4934.820898,5067.84358,5201.83349,5287.29765,5473.471948,5620.215893,5828.647023,5981.360808,5991.48523,6028.984468,6047.495195,5992.464588,6077.160028,6294.590158,6423.872
Primary and Utilities,Vancouver,4034.310773,4267.327603,4264.444355,4469.38566,4657.342173,4492.023873,4616.047278,4670.551193,4869.329258,5034.094473,4840.533113,4837.694395,4740.242568,4710.167713,4623.901373,5064.481893,5194.08398,5314.515118,5908.40244,5624.218945,5694.236008,5699.733093,5312.25167,5817.904655,6389.91211,6409.735398,6513.035678,6816.548
Public Administration and Defence,Vancouver,3381.653833,3461.518768,3508.290663,3652.525383,3799.200205,3912.124755,3964.085398,3963.00886,3926.664055,3875.839243,3885.20274,3949.358723,4185.25175,4438.919843,4605.699303,4838.867598,4925.985038,4923.156298,4909.66018,4970.80558,5049.459888,5208.215303,5439.701508,5607.3913,5730.719325,5775.852378,5817.591038,5923.933
Transportation and Warehousing,Vancouver,4009.5747,4202.956165,4121.524908,4033.494398,3804.572298,3959.869578,4223.285073,4598.168718,4779.030085,4970.16028,5129.595043,5243.23508,5497.981188,5901.462513,5716.851568,5702.884628,5680.940263,5845.65054,6335.9032,6431.949948,6427.173308,6379.375248,6295.209078,6501.029835,6746.633783,6994.095765,7170.95572,7517.93725
Wholesale and Retail Trade,Vancouver,5193.071668,5445.99387,5892.414873,5880.748823,5828.487765,6239.633695,6529.13455,6778.73307,6716.592388,7115.198505,7132.908378,7546.301813,7704.787628,8096.023898,8298.621325,8684.513038,9059.444478,9411.04897,9814.397945,10361.74963,10942.88795,10808.0539,10317.49458,11001.51505,11394.23205,11768.00035,12266.66785,13107.8875
All Industries,Ottawa and Gatineau,34400.8188,35899.1075,37119.52738,37103.013,36776.64163,36909.32413,36816.98585,37938.41378,38704.1781,38565.8457,40560.92033,42317.29445,45482.73063,48343.39435,49741.87183,51258.54665,52580.48743,54082.16193,55599.25288,57440.55338,58999.89588,60001.8736,59889.39358,61583.39203,62444.26405,62814.5802,63123.94528,63434.2575
Business Services,Ottawa and Gatineau,2599.503453,2909.286405,3078.129928,3083.658988,2969.362023,2867.513868,2990.417895,3177.959758,3407.980925,3509.69422,3797.645835,4239.578923,4869.553343,5504.148828,5581.732573,5759.706408,5930.799095,6048.243243,6209.596053,6393.223483,6600.88875,6553.734463,6264.205755,6345.341565,6510.469285,6674.918513,6852.796883,6976.2315
Construction,Ottawa and Gatineau,2745.173183,2702.97087,2725.276565,2451.134303,2225.478595,2046.649863,1771.126028,1756.761818,1594.52643,1623.402723,1664.6158,1682.428443,1971.937973,2107.9835,2351.191163,2525.44802,2631.430965,2678.054808,2739.752183,2831.947953,2955.263673,2894.939288,2976.812113,3153.563403,3157.373278,3151.921935,2917.531063,2774.37575
Education and Healthcare,Ottawa and Gatineau,5435.554558,5372.098428,5393.009795,5434.408933,5541.42171,5567.550125,5615.13231,5677.424675,5752.263243,5595.242115,5548.497673,5613.551585,5718.032468,5831.66871,5868.133395,5953.9024,6080.72237,6263.41446,6488.110603,6739.238538,7025.819953,7334.543128,7580.661388,7769.048283,7912.204823,8087.15235,8312.53152,8530.02025
"Finance, Insurance and Real Estate",Ottawa and Gatineau,4634.837843,4930.048435,5262.81751,5506.222353,5736.601465,5883.764068,5948.768008,6278.81609,6424.729415,6593.459275,6925.834873,7100.156133,7412.603175,7770.91132,8042.612015,8182.956588,8309.581788,8598.864878,8932.01106,9267.140393,9592.559798,9637.193828,9723.100735,9914.05621,10115.7974,10291.53583,10543.52673,10720.2925
Information and Cultural Industries,Ottawa and Gatineau,1177.492215,1276.174263,1389.073433,1438.595328,1376.658955,1342.35792,1270.451958,1299.775035,1385.994828,1421.442273,1673.298075,1755.526018,2025.527565,2107.41908,2185.954513,2130.16597,2078.032278,2255.850048,2343.048058,2436.361435,2432.42315,2411.632358,2410.893023,2454.550725,2530.187658,2633.22782,2750.931215,2825.25775
Manufacturing,Ottawa and Gatineau,1848.32728,2049.422563,2126.046173,2053.373278,1918.595913,2014.964198,2155.75198,2364.15583,2568.883978,2635.205753,2786.700228,3126.048385,3527.952628,3896.69281,3675.70439,3708.430565,3676.592908,3742.750605,3897.873615,3995.068583,3947.970378,3686.60213,3016.40342,3074.408495,2965.226693,2822.6012,2567.32279,2451.29675
Personal Services,Ottawa and Gatineau,1602.083418,1767.756068,1855.75315,1885.356355,1708.890568,1722.367813,1720.14191,1777.781565,1799.410585,1794.784155,1991.527035,2110.667693,2354.963323,2459.302498,2548.023743,2623.662168,2548.517,2614.28367,2624.988598,2625.120775,2645.87235,2655.25085,2641.39184,2588.42779,2618.591578,2674.86903,2782.73269,2894.4705
Primary and Utilities,Ottawa and Gatineau,624.8502953,630.1885908,593.7051463,566.9258658,605.7326243,625.738046,689.3890385,715.3268565,772.7722348,776.6519343,779.7867213,772.589613,818.1707263,851.6788705,850.2684868,835.3058513,838.9636553,872.6143028,910.324712,863.099456,836.3750905,893.1823478,740.7239008,765.7505848,810.0583003,785.2692625,848.42929,918.800575
Public Administration and Defence,Ottawa and Gatineau,10232.65815,10470.08688,10650.00123,10658.15255,10897.6063,10939.7375,10775.44453,10880.38773,10874.0303,10501.9948,11189.49,11474.61755,11982.6829,12685.96055,13332.71998,14012.8958,14797.91778,15144.86838,15395.69588,16058.26315,16617.6856,17563.01515,18446.10435,19070.54113,19133.70643,18846.4382,18530.3262,18011.67
Transportation and Warehousing,Ottawa and Gatineau,1219.6414,1268.461735,1299.071005,1327.194525,1225.006573,1296.91754,1278.828553,1345.36378,1381.231753,1363.446198,1387.49314,1383.954508,1479.155088,1515.473093,1551.77895,1520.491485,1471.670315,1509.945473,1551.192095,1557.02411,1557.670508,1596.55009,1488.660878,1547.412333,1563.288288,1558.291365,1504.12814,1497.877
Wholesale and Retail Trade,Ottawa and Gatineau,2280.69702,2522.613293,2746.643453,2697.99055,2571.286888,2601.763218,2601.533643,2664.660653,2742.354415,2750.52225,2816.03092,3058.175615,3322.15145,3612.155093,3753.752603,4005.58141,4216.259255,4353.272058,4506.660018,4674.065505,4787.366605,4775.229985,4600.436165,4900.291505,5127.360313,5288.354683,5513.688745,5833.9655
All Industries,Toronto,154490.683,161505.3333,165485.8978,162535.6223,157782.409,158428.511,159853.3363,168208.069,175855.418,179374.999,189350.5065,199793.1268,216648.032,231504.4223,235959.7838,242763.7848,247093.4715,254267.1568,262077.9838,269038.9878,274775.686,274483.3538,267469.9953,277643.4065,284954.1158,290838.1123,296247.1413,303353.3
Business Services,Toronto,12569.60488,13973.0528,14721.42535,14624.97503,13854.52838,13146.94153,13559.54378,14397.29208,15550.03205,16150.74285,17558.84165,19621.31535,22526.78313,25447.5237,25730.30248,26394.57168,27007.11298,27450.99263,28145.50958,29097.99735,30384.80568,30618.66895,29696.61293,30342.93903,31066.27858,31581.35603,32168.80215,32561.3525
Construction,Toronto,10187.95079,10642.0841,11318.731,10515.42939,9652.75882,8836.760093,7605.27032,7679.491803,7314.138013,7907.001745,8479.210795,8708.719205,10103.13357,10524.34473,11430.07588,12053.54913,12460.82695,12686.24243,12976.89698,13305.39903,13652.87223,13125.48758,13285.9012,14053.8706,14310.89253,14765.79773,14336.30623,14304.28
Education and Healthcare,Toronto,18369.44413,18420.03993,18664.26823,18873.07363,19272.845,19369.06945,19533.4667,19758.36593,20074.54778,19675.57428,19724.13778,20173.1894,20657.46,21039.6477,21152.58153,21579.7948,22242.29718,23114.28373,24106.7878,25152.24255,26204.47013,27209.09265,28023.89065,28752.48115,29408.28825,30234.63045,31232.55115,32134.46
"Finance, Insurance and Real Estate",Toronto,35441.35548,36001.90788,37075.0887,37730.0915,38643.06605,39226.78553,39384.23293,41701.79668,42912.10488,44665.48,47791.14968,49967.10435,53270.19433,57122.885,60406.02798,62273.49823,63748.5927,66266.55668,69071.44858,72115.18398,75059.1874,75363.0296,75900.19225,77576.19275,79622.66313,81624.85675,84830.03113,87371.6925
Information and Cultural Industries,Toronto,3939.698378,4292.764408,4712.99381,4965.55988,4881.846955,4941.265613,4842.720333,5044.138518,5394.50861,5532.689935,6605.96628,7191.798525,8781.781868,9741.368878,10704.15685,10896.9086,10965.18338,12083.64755,12558.95218,13048.04158,13212.81368,13510.26885,13910.6118,14297.36888,14549.63483,14677.25975,14761.1728,14609.1775
Manufacturing,Toronto,30198.12003,32075.88393,32016.5967,29942.80823,27235.00673,28028.88835,29655.82795,32516.87625,35478.16733,36237.7982,37321.56015,40199.40943,43646.43158,47320.84135,44971.76318,46266.55668,46265.82753,46311.54833,46256.43953,44982.31665,42601.22023,39191.37133,32678.47743,35031.23968,36195.53488,37074.4784,36283.2775,37105.365
Personal Services,Toronto,6759.67077,7312.056533,7525.714083,7493.391088,6674.870488,6662.678785,6653.875863,6946.151265,7145.7088,7207.86643,7996.475998,8378.85447,9215.741425,9551.940418,9912.474005,10287.77688,10079.82689,10417.04893,10568.9804,10760.63915,11132.57158,11485.96085,11680.00138,11603.8635,11853.51425,12210.5463,12774.31808,13338.5775
Primary and Utilities,Toronto,6194.089575,6506.672785,6112.407585,5715.751848,6147.209888,5924.83098,6086.352763,5914.670418,6036.66651,5682.929678,5733.855758,5530.39466,5665.19172,5694.348338,5548.37136,5475.903063,5308.434795,5324.339458,5402.45271,5197.25319,5152.718278,5600.839815,5175.784698,5491.311283,5857.743945,5932.414968,6394.474435,6665.7935
Public Administration and Defence,Toronto,8780.726225,9097.732775,9389.170808,9516.145688,9821.733523,9950.345523,9895.101173,10065.08235,10071.66238,9628.506723,10011.11119,9881.396898,9810.39988,9825.268228,9803.55803,9888.936915,10182.88679,10333.4771,10566.473,11133.5542,11616.48505,12330.57095,13008.06173,13602.30825,13859.24618,13867.82125,13857.39678,13688.2675
Transportation and Warehousing,Toronto,6517.61905,6829.903038,7010.96087,7120.602963,6496.918425,6854.775468,6868.905833,7502.322938,8071.193168,8308.71377,8740.830785,8942.556415,9731.911045,10096.37577,10467.80195,10423.49943,10250.84194,10696.95308,11211.47338,11496.4438,11779.68375,12425.45325,11869.59558,12532.2152,12906.16383,13296.28245,13421.20455,13928.7725
Wholesale and Retail Trade,Toronto,15532.40375,16353.235,16938.5405,16037.79298,15101.62475,15486.16985,15768.0387,16681.88083,17806.6884,18377.6954,19387.36673,21198.388,23239.0034,25139.87833,25832.67063,27222.78925,28581.64033,29582.0666,31212.5696,32749.9164,33978.8583,33622.60992,32240.86583,34359.61585,35324.15548,35572.66817,36187.60635,37645.555
All Industries,Montreal,101972.2039,105769.382,107239.0328,107263.9055,103856.1348,104344.3733,106462.1873,109873.7448,111186.2205,111671.3425,115719.4808,120024.1685,128115.1348,134414.599,136293.5543,139707.1848,141030.9085,143865.1705,146013.4658,148391.4483,151226.222,153715.5995,152291.3535,155391.1118,158434.8338,161442.5208,164096.4648,167581.05
Business Services,Montreal,6362.395135,6885.37914,7252.542433,7274.545508,7104.851768,6911.856295,7148.828995,7338.114168,7788.243928,8056.274048,8535.00658,9549.346723,10967.19898,11596.13595,12011.20513,12548.3989,13259.88963,13561.74483,13859.1769,14355.7109,14505.97955,14882.83553,14766.23715,14816.96698,14937.89885,15040.37135,15061.5975,15066.7475
Construction,Montreal,7302.35062,7195.435153,7389.171173,7773.06426,6814.071978,6222.02689,6160.353573,6126.442913,5409.462415,5455.267838,5126.001773,5460.323353,5236.311003,5759.761965,6137.797913,6802.7319,7168.619058,7893.187363,7857.370923,7796.13418,8196.823908,8486.934528,8937.567928,9068.82529,9192.991755,9823.615905,9535.799288,9304.65475
Education and Healthcare,Montreal,16005.58195,16639.00233,16775.22385,17040.15335,17299.47518,17824.0139,17967.50343,18108.21668,17981.44675,17753.5461,17243.60025,17021.5437,17804.8519,18044.01955,18213.86305,18423.7246,18986.47697,19412.8015,19629.2623,20004.30443,20383.37135,20879.31425,21170.80178,21403.75905,21681.61798,22018.61948,22636.3652,23016.89
"Finance, Insurance and Real Estate",Montreal,17672.11108,17442.56518,17661.34255,18052.21213,18393.78973,18821.7492,19606.08545,20245.57858,20791.3225,20653.58053,20802.55788,21303.58828,22748.8904,23253.4662,23788.31745,24830.16968,25323.5929,26455.67655,27007.99345,27881.9296,28647.47758,28889.61615,29554.3657,30206.64538,31076.60745,31996.20548,33158.15423,34297.5925
Information and Cultural Industries,Montreal,3101.350578,3270.20283,3452.297805,3559.246238,3685.624783,3785.621493,3851.96207,3988.978105,4195.962098,4310.406055,4892.573935,5288.085223,5816.399433,6065.76951,6512.663725,6868.3223,6750.670985,6861.690673,6949.44848,7216.458478,7322.182995,7425.130383,7486.160343,7587.177348,7745.419875,7857.741108,7924.424398,7959.839
Manufacturing,Montreal,17730.62395,19088.57218,19661.22525,19198.74228,17427.26855,17325.5342,18373.1624,19428.9987,19391.13818,19273.23425,21748.57295,22724.23388,25107.43885,27521.1419,26734.29798,26060.70698,24741.7624,24505.745,24535.55365,23823.33233,23235.23795,22783.59728,20876.55098,21205.64305,21357.2584,21191.76025,20843.24445,21489.1625
Personal Services,Montreal,5141.507643,5261.89139,5291.09812,5242.29751,4768.572168,4868.015258,4884.86732,4951.70557,5041.34557,5109.27403,5525.881903,5945.733048,6077.861288,6373.03907,6583.699058,6859.871878,7028.42117,7249.293395,7401.39918,7435.952393,7631.262225,7805.47253,7938.5196,7969.586665,8056.99767,8233.218823,8465.4999,8459.11725
Primary and Utilities,Montreal,5731.566605,6001.82768,5758.084135,5740.002728,5703.307123,5410.834185,5384.352825,5511.795913,5810.0541,6122.790728,6613.376778,6585.144508,6977.798173,6982.25664,6592.26399,6841.837093,6774.921843,6304.802723,6327.49117,6322.698628,6707.64598,7245.543693,7101.250965,7421.223085,7885.245248,8238.277058,9007.073378,9485.7305
Public Administration and Defence,Montreal,5706.530825,6173.182683,6288.601663,6478.453485,6733.796748,6810.082908,6833.089353,6871.389808,6811.099055,6698.837018,6890.82739,6941.396843,7173.718855,7330.808725,7677.4554,7812.668185,7741.51604,7681.07773,7706.18565,7888.593173,7961.14925,8151.985648,8573.0793,8796.907863,8911.061563,8917.683638,9041.28341,9296.239
Transportation and Warehousing,Montreal,5643.315048,5721.90562,5595.675035,5440.2153,5070.409065,5236.10569,5247.735478,5505.49704,5684.219053,5774.955648,5797.55275,5892.940055,6200.039683,6515.8924,6622.530333,6528.641085,6567.052705,6772.685615,6977.656843,7096.398893,7317.5972,7204.580703,6919.191663,7179.592673,7312.692613,7348.63442,7271.126075,7424.073
Wholesale and Retail Trade,Montreal,11574.87075,12089.41758,12113.7706,11464.97272,10854.96748,11128.5331,11004.24633,11797.02728,12281.92655,12463.17623,12543.52863,13311.83278,14004.62618,14972.30725,15419.46013,16130.11243,16687.98465,17166.46525,17761.92723,18569.93533,19317.494,19960.58903,18967.62823,19734.78433,20277.0423,20776.3933,21151.89705,21780.9875
All Industries,Canada,856515.9818,894415.1145,915733.5395,920576.6258,907398.9565,915132.5443,937528.0775,979696.6193,1005357.3,1019622.485,1062491.213,1104378.445,1166290.075,1230642.435,1249676.233,1282477.31,1309943.583,1351805.123,1391474.72,1431395.38,1466691,1482081,1438301,1489226,1530005.003,1558076.998,1589813.248,1625643.918
Business Services,Canada,45083.17028,49833.45975,52549.52155,53504.79233,52687.21345,50923.89595,53711.20945,56690.36235,60782.75548,62543.07898,66847.91668,73808.16668,81603.58333,89714.91668,92456.00003,95790.16665,99777.91675,103492.2503,107331.0835,112586,117349,119458,115918,117201.2135,119929.261,122403.9725,124222.7155,125944.8223
Construction,Canada,62283.9965,64078.9852,67477.49715,67795.6677,62436.0426,57822.56968,55779.80208,57484.6894,55341.96563,57317.15715,59854.08333,61847,64654,68219,73206,76144.91668,78905,83632.08335,87957.08333,91562.83333,95353,99048,95698,103702.9998,106980,112537,113415.4168,113385
Education and Healthcare,Canada,129129.725,131280.3923,133073.861,135648.9825,139029.6708,141307.3755,141945.551,142595.6835,143265.2453,141997.8605,138400.75,139466.9168,143349.1665,146641.9168,148785.8335,151327,155616.9168,158985,162823.0833,167276.917,172073,177864,181539.9998,184199,186763,189923.9998,193123.8335,195047.0777
